Assembly	kmergenie
k30_ecoli_100X_1	67
k36_ecoli_100X_1	67
k42_ecoli_100X_1	67
k48_ecoli_100X_1	67
k54_ecoli_100X_1	67
k60_ecoli_100X_1	67
k66_ecoli_100X_1	67
k72_ecoli_100X_1	67
k78_ecoli_100X_1	67
k84_ecoli_100X_1	67
k90_ecoli_100X_1	67
k96_ecoli_100X_1	67
k30_ecoli_100X_10	67
k36_ecoli_100X_10	67
k42_ecoli_100X_10	67
k48_ecoli_100X_10	67
k54_ecoli_100X_10	67
k60_ecoli_100X_10	67
k66_ecoli_100X_10	67
k72_ecoli_100X_10	67
k78_ecoli_100X_10	67
k84_ecoli_100X_10	67
k90_ecoli_100X_10	67
k96_ecoli_100X_10	67
k30_ecoli_100X_11	67
k36_ecoli_100X_11	67
k42_ecoli_100X_11	67
k48_ecoli_100X_11	67
k54_ecoli_100X_11	67
k60_ecoli_100X_11	67
k66_ecoli_100X_11	67
k72_ecoli_100X_11	67
k78_ecoli_100X_11	67
k84_ecoli_100X_11	67
k90_ecoli_100X_11	67
k96_ecoli_100X_11	67
k30_ecoli_100X_12	67
k36_ecoli_100X_12	67
k42_ecoli_100X_12	67
k48_ecoli_100X_12	67
k54_ecoli_100X_12	67
k60_ecoli_100X_12	67
k66_ecoli_100X_12	67
k72_ecoli_100X_12	67
k78_ecoli_100X_12	67
k84_ecoli_100X_12	67
k90_ecoli_100X_12	67
k96_ecoli_100X_12	67
k30_ecoli_100X_13	67
k36_ecoli_100X_13	67
k42_ecoli_100X_13	67
k48_ecoli_100X_13	67
k54_ecoli_100X_13	67
k60_ecoli_100X_13	67
k66_ecoli_100X_13	67
k72_ecoli_100X_13	67
k78_ecoli_100X_13	67
k84_ecoli_100X_13	67
k90_ecoli_100X_13	67
k96_ecoli_100X_13	67
k30_ecoli_100X_14	67
k36_ecoli_100X_14	67
k42_ecoli_100X_14	67
k48_ecoli_100X_14	67
k54_ecoli_100X_14	67
k60_ecoli_100X_14	67
k66_ecoli_100X_14	67
k72_ecoli_100X_14	67
k78_ecoli_100X_14	67
k84_ecoli_100X_14	67
k90_ecoli_100X_14	67
k96_ecoli_100X_14	67
k30_ecoli_100X_15	67
k36_ecoli_100X_15	67
k42_ecoli_100X_15	67
k48_ecoli_100X_15	67
k54_ecoli_100X_15	67
k60_ecoli_100X_15	67
k66_ecoli_100X_15	67
k72_ecoli_100X_15	67
k78_ecoli_100X_15	67
k84_ecoli_100X_15	67
k90_ecoli_100X_15	67
k96_ecoli_100X_15	67
k30_ecoli_100X_16	67
k36_ecoli_100X_16	67
k42_ecoli_100X_16	67
k48_ecoli_100X_16	67
k54_ecoli_100X_16	67
k60_ecoli_100X_16	67
k66_ecoli_100X_16	67
k72_ecoli_100X_16	67
k78_ecoli_100X_16	67
k84_ecoli_100X_16	67
k90_ecoli_100X_16	67
k96_ecoli_100X_16	67
k30_ecoli_100X_17	67
k36_ecoli_100X_17	67
k42_ecoli_100X_17	67
k48_ecoli_100X_17	67
k54_ecoli_100X_17	67
k60_ecoli_100X_17	67
k66_ecoli_100X_17	67
k72_ecoli_100X_17	67
k78_ecoli_100X_17	67
k84_ecoli_100X_17	67
k90_ecoli_100X_17	67
k96_ecoli_100X_17	67
k30_ecoli_100X_18	67
k36_ecoli_100X_18	67
k42_ecoli_100X_18	67
k48_ecoli_100X_18	67
k54_ecoli_100X_18	67
k60_ecoli_100X_18	67
k66_ecoli_100X_18	67
k72_ecoli_100X_18	67
k78_ecoli_100X_18	67
k84_ecoli_100X_18	67
k90_ecoli_100X_18	67
k96_ecoli_100X_18	67
k30_ecoli_100X_19	67
k36_ecoli_100X_19	67
k42_ecoli_100X_19	67
k48_ecoli_100X_19	67
k54_ecoli_100X_19	67
k60_ecoli_100X_19	67
k66_ecoli_100X_19	67
k72_ecoli_100X_19	67
k78_ecoli_100X_19	67
k84_ecoli_100X_19	67
k90_ecoli_100X_19	67
k96_ecoli_100X_19	67
k30_ecoli_100X_2	67
k36_ecoli_100X_2	67
k42_ecoli_100X_2	67
k48_ecoli_100X_2	67
k54_ecoli_100X_2	67
k60_ecoli_100X_2	67
k66_ecoli_100X_2	67
k72_ecoli_100X_2	67
k78_ecoli_100X_2	67
k84_ecoli_100X_2	67
k90_ecoli_100X_2	67
k96_ecoli_100X_2	67
k30_ecoli_100X_20	67
k36_ecoli_100X_20	67
k42_ecoli_100X_20	67
k48_ecoli_100X_20	67
k54_ecoli_100X_20	67
k60_ecoli_100X_20	67
k66_ecoli_100X_20	67
k72_ecoli_100X_20	67
k78_ecoli_100X_20	67
k84_ecoli_100X_20	67
k90_ecoli_100X_20	67
k96_ecoli_100X_20	67
k30_ecoli_100X_21	67
k36_ecoli_100X_21	67
k42_ecoli_100X_21	67
k48_ecoli_100X_21	67
k54_ecoli_100X_21	67
k60_ecoli_100X_21	67
k66_ecoli_100X_21	67
k72_ecoli_100X_21	67
k78_ecoli_100X_21	67
k84_ecoli_100X_21	67
k90_ecoli_100X_21	67
k96_ecoli_100X_21	67
k30_ecoli_100X_22	67
k36_ecoli_100X_22	67
k42_ecoli_100X_22	67
k48_ecoli_100X_22	67
k54_ecoli_100X_22	67
k60_ecoli_100X_22	67
k66_ecoli_100X_22	67
k72_ecoli_100X_22	67
k78_ecoli_100X_22	67
k84_ecoli_100X_22	67
k90_ecoli_100X_22	67
k96_ecoli_100X_22	67
k30_ecoli_100X_23	67
k36_ecoli_100X_23	67
k42_ecoli_100X_23	67
k48_ecoli_100X_23	67
k54_ecoli_100X_23	67
k60_ecoli_100X_23	67
k66_ecoli_100X_23	67
k72_ecoli_100X_23	67
k78_ecoli_100X_23	67
k84_ecoli_100X_23	67
k90_ecoli_100X_23	67
k96_ecoli_100X_23	67
k30_ecoli_100X_24	67
k36_ecoli_100X_24	67
k42_ecoli_100X_24	67
k48_ecoli_100X_24	67
k54_ecoli_100X_24	67
k60_ecoli_100X_24	67
k66_ecoli_100X_24	67
k72_ecoli_100X_24	67
k78_ecoli_100X_24	67
k84_ecoli_100X_24	67
k90_ecoli_100X_24	67
k96_ecoli_100X_24	67
k30_ecoli_100X_25	67
k36_ecoli_100X_25	67
k42_ecoli_100X_25	67
k48_ecoli_100X_25	67
k54_ecoli_100X_25	67
k60_ecoli_100X_25	67
k66_ecoli_100X_25	67
k72_ecoli_100X_25	67
k78_ecoli_100X_25	67
k84_ecoli_100X_25	67
k90_ecoli_100X_25	67
k96_ecoli_100X_25	67
k30_ecoli_100X_26	85
k36_ecoli_100X_26	85
k42_ecoli_100X_26	85
k48_ecoli_100X_26	85
k54_ecoli_100X_26	85
k60_ecoli_100X_26	85
k66_ecoli_100X_26	85
k72_ecoli_100X_26	85
k78_ecoli_100X_26	85
k84_ecoli_100X_26	85
k90_ecoli_100X_26	85
k96_ecoli_100X_26	85
k30_ecoli_100X_27	67
k36_ecoli_100X_27	67
k42_ecoli_100X_27	67
k48_ecoli_100X_27	67
k54_ecoli_100X_27	67
k60_ecoli_100X_27	67
k66_ecoli_100X_27	67
k72_ecoli_100X_27	67
k78_ecoli_100X_27	67
k84_ecoli_100X_27	67
k90_ecoli_100X_27	67
k96_ecoli_100X_27	67
k30_ecoli_100X_28	67
k36_ecoli_100X_28	67
k42_ecoli_100X_28	67
k48_ecoli_100X_28	67
k54_ecoli_100X_28	67
k60_ecoli_100X_28	67
k66_ecoli_100X_28	67
k72_ecoli_100X_28	67
k78_ecoli_100X_28	67
k84_ecoli_100X_28	67
k90_ecoli_100X_28	67
k96_ecoli_100X_28	67
k30_ecoli_100X_29	67
k36_ecoli_100X_29	67
k42_ecoli_100X_29	67
k48_ecoli_100X_29	67
k54_ecoli_100X_29	67
k60_ecoli_100X_29	67
k66_ecoli_100X_29	67
k72_ecoli_100X_29	67
k78_ecoli_100X_29	67
k84_ecoli_100X_29	67
k90_ecoli_100X_29	67
k96_ecoli_100X_29	67
k30_ecoli_100X_3	67
k36_ecoli_100X_3	67
k42_ecoli_100X_3	67
k48_ecoli_100X_3	67
k54_ecoli_100X_3	67
k60_ecoli_100X_3	67
k66_ecoli_100X_3	67
k72_ecoli_100X_3	67
k78_ecoli_100X_3	67
k84_ecoli_100X_3	67
k90_ecoli_100X_3	67
k96_ecoli_100X_3	67
k30_ecoli_100X_30	67
k36_ecoli_100X_30	67
k42_ecoli_100X_30	67
k48_ecoli_100X_30	67
k54_ecoli_100X_30	67
k60_ecoli_100X_30	67
k66_ecoli_100X_30	67
k72_ecoli_100X_30	67
k78_ecoli_100X_30	67
k84_ecoli_100X_30	67
k90_ecoli_100X_30	67
k96_ecoli_100X_30	67
k30_ecoli_100X_31	67
k36_ecoli_100X_31	67
k42_ecoli_100X_31	67
k48_ecoli_100X_31	67
k54_ecoli_100X_31	67
k60_ecoli_100X_31	67
k66_ecoli_100X_31	67
k72_ecoli_100X_31	67
k78_ecoli_100X_31	67
k84_ecoli_100X_31	67
k90_ecoli_100X_31	67
k96_ecoli_100X_31	67
k30_ecoli_100X_32	67
k36_ecoli_100X_32	67
k42_ecoli_100X_32	67
k48_ecoli_100X_32	67
k54_ecoli_100X_32	67
k60_ecoli_100X_32	67
k66_ecoli_100X_32	67
k72_ecoli_100X_32	67
k78_ecoli_100X_32	67
k84_ecoli_100X_32	67
k90_ecoli_100X_32	67
k96_ecoli_100X_32	67
k30_ecoli_100X_33	85
k36_ecoli_100X_33	85
k42_ecoli_100X_33	85
k48_ecoli_100X_33	85
k54_ecoli_100X_33	85
k60_ecoli_100X_33	85
k66_ecoli_100X_33	85
k72_ecoli_100X_33	85
k78_ecoli_100X_33	85
k84_ecoli_100X_33	85
k90_ecoli_100X_33	85
k96_ecoli_100X_33	85
k30_ecoli_100X_34	67
k36_ecoli_100X_34	67
k42_ecoli_100X_34	67
k48_ecoli_100X_34	67
k54_ecoli_100X_34	67
k60_ecoli_100X_34	67
k66_ecoli_100X_34	67
k72_ecoli_100X_34	67
k78_ecoli_100X_34	67
k84_ecoli_100X_34	67
k90_ecoli_100X_34	67
k96_ecoli_100X_34	67
k30_ecoli_100X_35	67
k36_ecoli_100X_35	67
k42_ecoli_100X_35	67
k48_ecoli_100X_35	67
k54_ecoli_100X_35	67
k60_ecoli_100X_35	67
k66_ecoli_100X_35	67
k72_ecoli_100X_35	67
k78_ecoli_100X_35	67
k84_ecoli_100X_35	67
k90_ecoli_100X_35	67
k96_ecoli_100X_35	67
k30_ecoli_100X_36	67
k36_ecoli_100X_36	67
k42_ecoli_100X_36	67
k48_ecoli_100X_36	67
k54_ecoli_100X_36	67
k60_ecoli_100X_36	67
k66_ecoli_100X_36	67
