Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k42_ecoli_50X_noerr_2-contigs	579	188	146	115	64	26	4583190	4538725	4437741	4195883	3386840	2008212	197	232018	4545405	4641652	50.75	50.79	44203	43152	24559	22427	32	33	65	69	0	0	0	0	0	0 + 0 part	0	97.868	1.001	0.02	1.19	0.02	232018	4545405	44203	43152	24559	22427	32	33	65	69
k48_ecoli_50X_noerr_2-contigs	483	144	112	93	61	31	4587515	4544670	4469018	4324832	3816010	2743556	151	269695	4549931	4641652	50.76	50.79	59650	58761	32862	32193	23	24	48	50	0	0	0	0	0	0 + 0 part	0	97.964	1.001	0.02	0.73	0.00	269695	4549931	59650	58761	32862	32193	23	24	48	50
k54_ecoli_50X_noerr_2-contigs	415	132	103	86	62	31	4585835	4546689	4480015	4352713	3976031	2889104	138	269707	4550846	4641652	50.75	50.79	63672	62884	35883	35154	21	22	44	46	0	0	0	0	0	0 + 0 part	0	97.979	1.001	0.00	0.77	0.00	269707	4550846	63672	62884	35883	35154	21	22	44	46
k60_ecoli_50X_noerr_2-contigs	377	121	96	81	60	30	4589022	4550976	4493894	4378682	4045032	2985587	128	327718	4555607	4641652	50.75	50.79	66023	66023	40168	36330	19	19	40	42	0	0	0	0	0	0 + 0 part	0	98.098	1.000	0.00	0.75	0.00	327718	4555607	66023	66023	40168	36330	19	19	40	42
k66_ecoli_50X_noerr_2-contigs	354	114	88	75	56	33	4593248	4554250	4497961	4396850	4102753	3269584	121	327724	4559314	4641652	50.74	50.79	79112	79112	44454	43893	18	18	37	38	0	0	0	0	0	0 + 0 part	0	98.140	1.001	0.00	0.81	0.00	327724	4559314	79112	79112	44454	43893	18	18	37	38
k72_ecoli_50X_noerr_2-contigs	338	109	87	75	56	33	4592317	4553432	4502426	4410261	4115029	3273150	114	327731	4557353	4641652	50.75	50.79	79118	79118	44466	43905	18	18	37	38	0	0	0	0	0	0 + 0 part	0	98.138	1.000	0.00	1.69	0.00	327731	4557350	79118	79118	44466	43905	18	18	37	38
k78_ecoli_50X_noerr_2-contigs	314	103	84	73	55	33	4593383	4553563	4505374	4422079	4137534	3339767	110	327107	4558701	4641652	50.75	50.79	79124	79124	46196	43912	17	17	35	37	0	0	0	0	0	0 + 0 part	0	98.172	1.000	0.00	1.84	0.00	327107	4558698	79124	79124	46196	43912	17	17	35	37
k84_ecoli_50X_noerr_2-contigs	282	100	79	71	54	32	4591659	4554964	4503463	4441768	4171818	3379644	108	327119	4560478	4641652	50.75	50.79	95505	82834	48837	44799	15	16	33	35	0	0	0	0	0	0 + 0 part	0	98.211	1.000	0.00	1.58	0.00	327119	4560475	95505	82834	48837	44799	15	16	33	35
k90_ecoli_50X_noerr_2-contigs	250	94	74	68	51	30	4589900	4556810	4507371	4461259	4193059	3455114	100	327131	4561573	4641652	50.75	50.79	111774	111774	53914	48851	14	14	30	31	0	0	0	0	0	0 + 0 part	0	98.234	1.000	0.00	1.14	0.00	327131	4561570	111774	111774	53914	48851	14	14	30	31
k96_ecoli_50X_noerr_2-contigs	230	90	69	63	48	30	4591529	4561152	4511003	4464825	4224997	3620694	94	327143	4564213	4641652	50.74	50.79	112817	112817	58080	57918	14	14	27	28	0	0	0	0	0	0 + 0 part	0	98.290	1.000	0.00	2.19	0.04	327143	4564213	112817	112817	58080	57918	14	14	27	28
k102_ecoli_100X_noerr_2-contigs	179	80	63	57	48	27	4636620	4613166	4564438	4520510	4384154	3682638	84	327797	4616015	4641652	50.76	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.924	1.005	0.00	2.48	0.04	327797	4616015	133968	133968	64353	64353	12	12	24	24
k108_ecoli_100X_noerr_2-contigs	176	78	62	56	47	28	4636973	4612926	4566454	4522582	4386106	3740111	83	327797	4616305	4641652	50.76	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.910	1.005	0.00	2.46	0.04	327797	4616305	133968	133968	64353	64353	12	12	24	24
k114_ecoli_100X_noerr_2-contigs	173	77	61	56	46	28	4636551	4610656	4564698	4528686	4367940	3747929	84	327797	4615941	4641652	50.76	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.942	1.005	0.00	1.61	0.00	327797	4615941	133968	133968	64353	64353	12	12	24	24
k120_ecoli_100X_noerr_2-contigs	165	76	60	55	45	29	4635273	4612353	4564786	4528774	4368405	3813973	79	327779	4614722	4641652	50.76	50.79	133968	133968	66775	66775	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.920	1.005	0.00	2.53	0.04	327779	4614722	133968	133968	66775	66775	12	12	24	24
k126_ecoli_100X_noerr_2-contigs	164	75	60	55	45	29	4633488	4609594	4564143	4528131	4367999	3815708	78	327785	4611963	4641652	50.76	50.79	133968	133968	66781	66781	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.888	1.005	0.00	2.46	0.04	327785	4611963	133968	133968	66781	66781	12	12	24	24
k30_ecoli_100X_noerr_2-contigs	575	155	120	98	59	29	4600371	4559755	4463369	4289231	3668486	2617905	164	269785	4565935	4641652	50.76	50.79	57842	55588	31081	29513	23	24	51	53	0	0	0	1	0	0 + 0 part	0	98.060	1.003	10.47	2.46	0.35	269785	4565646	57842	55588	31081	29513	23	24	51	53
k36_ecoli_100X_noerr_2-contigs	447	141	112	93	61	30	4609403	4573316	4493524	4344922	3859115	2739041	151	270096	4580660	4641652	50.77	50.79	61925	61925	35901	35673	23	23	47	48	0	0	0	3	0	0 + 0 part	0	98.299	1.004	2.82	3.07	0.24	270096	4580660	61925	61925	35901	35673	23	23	47	48
k42_ecoli_100X_noerr_2-contigs	372	124	98	84	60	29	4617174	4586167	4513283	4404725	4033362	2904009	132	270194	4592224	4641652	50.77	50.79	68951	65428	39124	38909	19	20	42	43	0	0	0	3	0	0 + 0 part	0	98.512	1.004	0.09	2.62	0.15	270194	4592224	68951	65428	39124	38909	19	20	42	43
k48_ecoli_100X_noerr_2-contigs	339	112	93	80	55	30	4620724	4591592	4540808	4445909	4038392	3123611	117	270060	4595223	4641652	50.77	50.79	95861	83321	42262	42172	17	18	38	39	0	0	0	2	0	0 + 0 part	0	98.573	1.004	0.00	1.86	0.11	270060	4595223	95861	83321	42262	42172	17	18	38	39
k54_ecoli_100X_noerr_2-contigs	301	104	87	76	54	34	4621775	4593156	4549392	4469241	4123401	3414532	109	270460	4596323	4641652	50.77	50.79	95906	87440	49544	45672	17	18	35	36	0	0	0	1	0	0 + 0 part	0	98.569	1.005	0.00	1.73	0.11	270460	4596323	95906	87440	49544	45672	17	18	35	36
k60_ecoli_100X_noerr_2-contigs	283	100	82	72	53	34	4625036	4596099	4547487	4473353	4175694	3502771	106	328378	4600201	4641652	50.77	50.79	96011	96011	53764	53764	17	17	34	34	0	0	0	1	0	0 + 0 part	0	98.681	1.004	0.00	1.77	0.07	328378	4600201	96011	96011	53764	53764	17	17	34	34
k66_ecoli_100X_noerr_2-contigs	264	96	78	69	55	34	4625433	4596392	4547969	4479799	4262114	3538590	102	327790	4600921	4641652	50.77	50.79	96068	95528	53802	53802	16	17	33	33	0	0	0	1	0	0 + 0 part	0	98.712	1.004	0.00	1.86	0.02	327790	4600921	96068	95528	53802	53802	16	17	33	33
k72_ecoli_100X_noerr_2-contigs	252	92	75	67	54	33	4631401	4601802	4552932	4491901	4290305	3566523	97	327796	4605723	4641652	50.77	50.79	111055	106390	55516	53909	15	16	31	32	0	0	0	1	0	0 + 0 part	0	98.793	1.004	0.00	2.05	0.02	327796	4605723	111055	106390	55516	53909	15	16	31	32
k78_ecoli_100X_noerr_2-contigs	241	91	75	67	54	33	4631712	4601684	4554010	4492815	4291728	3580212	97	327797	4606120	4641652	50.77	50.79	106402	96274	58233	56005	15	16	31	32	0	0	0	0	0	0 + 0 part	0	98.803	1.004	0.00	1.72	0.00	327797	4606120	106402	96274	58233	56005	15	16	31	32
k84_ecoli_100X_noerr_2-contigs	223	88	71	65	52	32	4631837	4603242	4555049	4507708	4306258	3623673	95	327797	4608048	4641652	50.78	50.79	113390	106417	58239	58239	14	15	30	30	0	0	0	0	0	0 + 0 part	0	98.863	1.004	0.00	1.92	0.02	327797	4608048	113390	106417	58239	58239	14	15	30	30
k90_ecoli_100X_noerr_2-contigs	206	87	71	65	52	30	4636092	4609722	4565625	4521402	4323194	3566461	92	327797	4613637	4641652	50.77	50.79	113352	113352	58245	58245	14	14	29	29	0	0	0	0	0	0 + 0 part	0	98.887	1.005	0.00	1.90	0.00	327797	4613637	113352	113352	58245	58245	14	14	29	29
k96_ecoli_100X_noerr_2-contigs	191	85	68	62	50	30	4638456	4614835	4566475	4522547	4335340	3662423	88	327797	4617048	4641652	50.76	50.79	125806	125806	59186	59186	14	14	27	27	0	0	0	0	0	0 + 0 part	0	98.912	1.006	0.00	2.50	0.04	327797	4617048	125806	125806	59186	59186	14	14	27	27
k102_ecoli_200X_noerr_2-contigs	176	79	63	57	48	27	4640073	4616908	4570089	4526170	4389714	3685115	83	327797	4619757	4641652	50.76	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.981	1.006	0.00	2.48	0.04	327797	4619757	133968	133968	64353	64353	12	12	24	24
k108_ecoli_200X_noerr_2-contigs	168	77	62	56	47	28	4640246	4618329	4572555	4528683	4392209	3744554	81	327797	4620919	4641652	50.77	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	99.010	1.005	0.00	2.46	0.04	327797	4620919	133968	133968	64353	64353	12	12	24	24
k114_ecoli_200X_noerr_2-contigs	162	76	61	56	47	28	4641716	4618535	4572617	4536605	4399776	3752476	82	327797	4622833	4641652	50.77	50.79	133968	133968	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	99.043	1.006	0.00	1.61	0.00	327797	4622833	133968	133968	64353	64353	12	12	24	24
k120_ecoli_200X_noerr_2-contigs	153	73	59	54	45	29	4640317	4619175	4575665	4539653	4403207	3848780	76	327797	4621544	4641652	50.76	50.79	133968	133968	68599	68599	12	12	23	23	0	0	0	0	0	0 + 0 part	0	99.017	1.006	0.00	2.52	0.04	327797	4621544	133968	133968	68599	68599	12	12	23	23
k126_ecoli_200X_noerr_2-contigs	148	69	58	53	44	29	4639502	4617839	4584879	4550418	4413661	3901789	72	327923	4620208	4641652	50.76	50.79	133968	133968	80392	68605	12	12	22	23	0	0	0	0	0	0 + 0 part	0	98.979	1.006	0.00	2.57	0.04	327923	4620208	133968	133968	80392	68605	12	12	22	23
k30_ecoli_200X_noerr_2-contigs	518	134	103	89	58	30	4602041	4563853	4478615	4364207	3878437	2874326	143	269785	4570033	4641652	50.76	50.79	59595	59186	35895	35335	20	21	44	45	0	0	0	2	0	0 + 0 part	0	98.115	1.003	10.83	2.77	0.33	269785	4569645	59595	59186	35895	35335	20	21	44	45
k36_ecoli_200X_noerr_2-contigs	402	117	95	79	58	33	4608698	4574436	4514717	4391379	4067984	3148551	127	270096	4581780	4641652	50.77	50.79	74998	74318	42346	42312	19	20	40	41	0	0	0	5	0	0 + 0 part	0	98.328	1.004	2.82	3.16	0.31	270096	4581780	74998	74318	42346	42312	19	20	40	41
k42_ecoli_200X_noerr_2-contigs	345	109	88	78	56	31	4618407	4589802	4530886	4452214	4106036	3202848	116	270194	4594736	4641652	50.77	50.79	95807	88456	42502	42318	17	18	37	38	0	0	0	5	0	0 + 0 part	0	98.565	1.004	0.04	3.06	0.24	270194	4594736	95807	88456	42502	42318	17	18	37	38
k48_ecoli_200X_noerr_2-contigs	324	102	83	73	52	33	4622077	4593230	4542817	4465595	4138813	3470437	107	270060	4596861	4641652	50.77	50.79	96181	96181	53709	49538	16	16	33	34	0	0	0	2	0	0 + 0 part	0	98.610	1.004	0.00	1.84	0.11	270060	4596861	96181	96181	53709	49538	16	16	33	34
k54_ecoli_200X_noerr_2-contigs	286	99	82	72	52	34	4623475	4596125	4551993	4477802	4169551	3546213	104	270460	4599292	4641652	50.77	50.79	95957	95957	53790	53790	16	16	33	33	0	0	0	1	0	0 + 0 part	0	98.632	1.005	0.02	1.83	0.11	270460	4599292	95957	95957	53790	53790	16	16	33	33
k60_ecoli_200X_noerr_2-contigs	271	92	75	66	53	33	4628466	4600322	4555925	4489203	4289376	3610079	98	328378	4604424	4641652	50.77	50.79	106366	106366	55987	55987	15	15	31	31	0	0	0	1	0	0 + 0 part	0	98.721	1.005	0.00	1.77	0.07	328378	4604424	106366	106366	55987	55987	15	15	31	31
k66_ecoli_200X_noerr_2-contigs	254	92	74	66	53	33	4628792	4600698	4551797	4490166	4289825	3611536	98	327790	4605227	4641652	50.77	50.79	106378	106378	55993	55993	15	15	31	31	0	0	0	1	0	0 + 0 part	0	98.750	1.005	0.00	1.83	0.02	327790	4605227	106378	106378	55993	55993	15	15	31	31
k72_ecoli_200X_noerr_2-contigs	246	90	73	65	52	32	4635762	4606630	4557515	4495299	4293705	3613331	95	327796	4610551	4641652	50.78	50.79	113967	112701	55999	55999	14	15	30	30	0	0	0	1	0	0 + 0 part	0	98.867	1.005	0.00	2.20	0.02	327796	4610551	113967	112701	55999	55999	14	15	30	30
k78_ecoli_200X_noerr_2-contigs	238	89	73	65	52	32	4634540	4604587	4556781	4494407	4293276	3625718	95	327797	4609023	4641652	50.77	50.79	113390	106402	58833	58233	14	15	29	30	0	0	0	0	0	0 + 0 part	0	98.843	1.005	0.00	1.83	0.00	327797	4609023	113390	106402	58833	58233	14	15	29	30
k84_ecoli_200X_noerr_2-contigs	217	86	69	64	53	32	4632679	4604822	4556213	4518853	4352997	3635184	93	327797	4609628	4641652	50.78	50.79	113390	113390	58833	58239	14	14	29	30	0	0	0	0	0	0 + 0 part	0	98.897	1.004	0.00	1.92	0.02	327797	4609628	113390	113390	58833	58239	14	14	29	30
k90_ecoli_200X_noerr_2-contigs	197	81	66	60	51	29	4637174	4611478	4569228	4524959	4388634	3649848	86	327797	4615393	4641652	50.77	50.79	133670	133670	60310	59186	13	13	26	27	0	0	0	0	0	0 + 0 part	0	98.931	1.005	0.00	1.89	0.00	327797	4615393	133670	133670	60310	59186	13	13	26	27
k96_ecoli_200X_noerr_2-contigs	184	82	66	60	51	30	4640038	4617014	4570773	4526845	4390413	3685879	85	327797	4619227	4641652	50.77	50.79	133670	133670	59186	59186	14	14	27	27	0	0	0	0	0	0 + 0 part	0	98.955	1.006	0.00	2.50	0.04	327797	4619227	133670	133670	59186	59186	14	14	27	27
k102_ecoli_20X_noerr_3-contigs	673	488	284	173	24	4	4587627	4529643	3968902	3163044	876363	249014	522	86542	4554113	4641652	50.74	50.79	14259	14060	8598	8226	100	103	200	208	0	0	0	0	0	0 + 0 part	0	98.012	1.001	0.00	0.07	0.00	86542	4554113	14259	14060	8598	8226	100	103	200	208
k108_ecoli_20X_noerr_3-contigs	955	718	345	139	8	0	4586399	4497196	3500352	2035714	219885	0	782	32461	4543033	4641652	50.74	50.79	9045	8831	5317	5078	164	170	328	342	0	0	0	0	0	0 + 0 part	0	97.705	1.002	0.00	0.07	0.00	32461	4543033	9045	8831	5317	5078	164	170	328	342
k114_ecoli_20X_noerr_3-contigs	1408	1025	321	56	0	0	4577931	4392403	2538008	706440	0	0	1198	22103	4518018	4641652	50.74	50.79	5541	5419	3241	3089	269	280	529	558	0	0	0	0	0	0 + 0 part	0	97.046	1.003	0.00	0.13	0.00	22103	4518018	5541	5419	3241	3089	269	280	529	558
k120_ecoli_20X_noerr_3-contigs	1749	1232	253	29	0	0	4569151	4298056	1844626	357934	0	0	1485	17359	4483795	4641652	50.75	50.79	4329	4180	2495	2324	338	357	680	729	1	1	1710	0	0	0 + 0 part	0	96.097	1.005	0.00	0.27	0.00	17359	4483795	4329	4180	2495	2324	338	357	680	729
k126_ecoli_20X_noerr_3-contigs	4127	1605	13	0	0	0	4329434	2933150	76218	0	0	0	2931	9911	3901347	4641652	50.75	50.79	1567	1341	1003	730	822	1078	1598	2242	0	0	0	0	0	0 + 0 part	0	83.557	1.006	2.46	1.75	0.21	9911	3900918	1567	1341	1002	730	822	1078	1599	2242
k30_ecoli_20X_noerr_3-contigs	1232	370	244	142	45	8	4578890	4494682	4153772	3372362	1826093	538034	395	127974	4512953	4641652	50.74	50.79	21179	20066	9904	9566	64	67	144	154	0	0	0	0	0	0 + 0 part	0	97.153	1.001	0.55	0.53	0.02	127974	4512953	21179	20066	9904	9566	64	67	144	154
k36_ecoli_20X_noerr_3-contigs	945	296	212	143	56	13	4581061	4508600	4298585	3773602	2381186	892846	318	138271	4524884	4641652	50.75	50.79	26772	25785	13870	12842	52	54	111	118	0	0	0	0	0	0 + 0 part	0	97.407	1.001	0.24	0.69	0.02	138271	4524884	26772	25785	13870	12842	52	54	111	118
k42_ecoli_20X_noerr_3-contigs	703	226	165	123	63	23	4580323	4524829	4383124	4064752	3078859	1657452	239	138285	4534270	4641652	50.75	50.79	37623	36403	19866	18384	38	39	78	82	0	0	0	0	0	0 + 0 part	0	97.617	1.001	0.22	0.60	0.02	138285	4534270	37623	36403	19866	18384	38	39	78	82
k48_ecoli_20X_noerr_3-contigs	570	174	124	99	62	26	4580929	4527826	4411858	4221244	3607618	2278773	186	198153	4536874	4641652	50.74	50.79	52508	48765	30827	29554	26	27	55	58	0	0	0	0	0	0 + 0 part	0	97.697	1.000	0.00	0.35	0.00	198153	4536874	52508	48765	30827	29554	26	27	55	58
k54_ecoli_20X_noerr_3-contigs	490	155	114	91	63	29	4581471	4531711	4435173	4264938	3802975	2583257	167	198159	4540397	4641652	50.75	50.79	57773	57212	32483	32049	24	25	50	52	0	0	0	0	0	0 + 0 part	0	97.778	1.000	0.00	0.31	0.00	198159	4540397	57773	57212	32483	32049	24	25	50	52
k60_ecoli_20X_noerr_3-contigs	455	155	114	94	63	27	4583054	4535491	4437848	4289364	3757586	2460382	169	168148	4544851	4641652	50.74	50.79	53596	53031	31590	30851	24	25	51	54	0	0	0	0	0	0 + 0 part	0	97.867	1.000	0.00	0.40	0.00	168148	4544851	53596	53031	31590	30851	24	25	51	54
k66_ecoli_20X_noerr_3-contigs	440	157	118	98	62	27	4585021	4536939	4446927	4295824	3644453	2364341	170	166137	4546032	4641652	50.74	50.79	52544	50161	31025	29845	26	27	54	57	0	0	0	0	0	0 + 0 part	0	97.898	1.000	0.00	0.40	0.00	166137	4546032	52544	50161	31025	29845	26	27	54	57
k72_ecoli_20X_noerr_3-contigs	454	178	132	108	65	26	4588546	4538522	4429618	4250157	3489714	2037036	190	140973	4547025	4641652	50.74	50.79	47315	46822	28487	26694	31	32	63	65	0	0	0	0	0	0 + 0 part	0	97.908	1.001	0.00	0.24	0.00	140973	4547025	47315	46822	28487	26694	31	32	63	65
k78_ecoli_20X_noerr_3-contigs	461	198	151	130	65	22	4589768	4538136	4423877	4271546	3155206	1660615	211	118032	4547216	4641652	50.74	50.79	35661	35227	22182	21635	37	39	76	80	0	0	0	0	0	0 + 0 part	0	97.916	1.001	0.00	0.02	0.00	118032	4547216	35661	35227	22182	21635	37	39	76	80
k84_ecoli_20X_noerr_3-contigs	455	221	166	135	68	18	4589592	4539188	4397632	4177945	3029757	1294469	237	118038	4550073	4641652	50.74	50.79	34195	33791	20903	20348	43	44	85	89	0	0	0	0	0	0 + 0 part	0	97.976	1.001	0.00	0.07	0.00	118038	4550073	34195	33791	20903	20348	43	44	85	89
k90_ecoli_20X_noerr_3-contigs	504	298	204	156	61	11	4588989	4540559	4290543	3945628	2430889	737856	314	118044	4552159	4641652	50.74	50.79	26372	26023	14724	14288	56	57	113	118	0	0	0	0	0	0 + 0 part	0	98.007	1.001	0.00	0.07	0.00	118044	4552159	26372	26023	14724	14288	56	57	113	118
k96_ecoli_20X_noerr_3-contigs	575	382	247	175	46	4	4588231	4534354	4178469	3653043	1612679	245593	407	71773	4552853	4641652	50.74	50.79	19441	19125	11223	10960	76	79	153	159	0	0	0	0	0	0 + 0 part	0	98.003	1.001	0.00	0.07	0.00	71773	4552853	19441	19125	11223	10960	76	79	153	159
k102_ecoli_50X_noerr_3-contigs	219	86	67	61	50	29	4603125	4573576	4527128	4480223	4304999	3596820	90	327797	4576425	4641652	50.75	50.79	125723	125723	58027	58027	13	13	27	27	0	0	0	0	0	0 + 0 part	0	98.457	1.001	0.00	2.25	0.04	327797	4576425	125723	125723	58027	58027	13	13	27	27
k108_ecoli_50X_noerr_3-contigs	210	82	63	57	48	29	4602758	4572915	4526044	4479276	4337305	3686339	87	327797	4576294	4641652	50.75	50.79	133288	133288	62387	58765	13	13	25	26	0	0	0	0	0	0 + 0 part	0	98.477	1.001	0.00	2.23	0.04	327797	4576294	133288	133288	62387	58765	13	13	25	26
k114_ecoli_50X_noerr_3-contigs	204	81	62	57	48	28	4603471	4571624	4525100	4486708	4344704	3640684	90	327797	4578115	4641652	50.75	50.79	133300	133300	62393	58771	13	13	25	26	0	0	0	0	0	0 + 0 part	0	98.488	1.001	0.00	1.18	0.00	327797	4578115	133300	133300	62393	58771	13	13	25	26
k120_ecoli_50X_noerr_3-contigs	194	80	61	56	47	29	4602616	4574585	4526826	4488404	4346298	3706053	84	327779	4577528	4641652	50.75	50.79	133312	133312	63738	62399	13	13	25	26	0	0	0	0	0	0 + 0 part	0	98.492	1.001	0.00	2.12	0.04	327779	4577528	133312	133312	63738	62399	13	13	25	26
k126_ecoli_50X_noerr_3-contigs	186	82	63	59	47	30	4601580	4574448	4524080	4492254	4288635	3688151	85	260659	4576817	4641652	50.75	50.79	133050	125747	63819	62405	13	14	26	27	0	0	0	0	0	0 + 0 part	0	98.493	1.001	0.00	2.36	0.04	260659	4576817	133050	125747	63819	62405	13	14	26	27
k30_ecoli_50X_noerr_3-contigs	964	307	212	138	52	14	4578866	4513500	4249858	3683599	2318666	1038274	326	162456	4527630	4641652	50.74	50.79	25789	24496	13061	11928	50	53	113	120	0	0	0	0	0	0 + 0 part	0	97.463	1.001	4.24	1.33	0.15	162456	4527548	25789	24496	13061	11928	50	53	113	120
k36_ecoli_50X_noerr_3-contigs	743	249	183	130	58	17	4585829	4529390	4350428	3944751	2786155	1325324	266	232431	4542072	4641652	50.75	50.79	34655	33169	16339	15897	41	42	90	94	0	0	0	0	0	0 + 0 part	0	97.724	1.001	0.77	1.26	0.04	232431	4542072	34655	33169	16339	15897	41	42	90	94
k42_ecoli_50X_noerr_3-contigs	559	183	137	107	62	25	4585484	4541757	4432340	4200753	3443321	2134750	193	232442	4549186	4641652	50.75	50.79	47344	46469	25448	24062	28	29	61	64	0	0	0	0	0	0 + 0 part	0	97.914	1.001	0.02	0.97	0.00	232442	4549186	47344	46469	25448	24062	28	29	61	64
k48_ecoli_50X_noerr_3-contigs	471	140	104	87	57	30	4586071	4544202	4459667	4331820	3852546	2891913	146	270060	4548811	4641652	50.75	50.79	67314	67314	35116	32193	20	20	43	45	1	1	47022	0	0	0 + 0 part	0	97.930	1.001	0.00	0.68	0.00	270060	4548811	67314	67314	35116	32193	20	20	43	45
k54_ecoli_50X_noerr_3-contigs	398	124	95	79	55	33	4587945	4549708	4476788	4353746	3977424	3227108	130	270460	4553865	4641652	50.75	50.79	82560	80482	41275	39249	18	19	38	39	1	1	85115	0	0	0 + 0 part	0	98.041	1.001	0.00	0.62	0.00	270460	4553865	80482	78600	40108	39249	18	19	39	40
k60_ecoli_50X_noerr_3-contigs	365	116	89	76	55	32	4588928	4551731	4488234	4385225	4053188	3255798	123	328378	4556395	4641652	50.75	50.79	85127	82786	42267	41974	17	18	36	38	1	1	85127	0	0	0 + 0 part	0	98.094	1.001	0.00	0.55	0.00	328378	4556395	82786	82572	42213	41974	17	18	37	38
k66_ecoli_50X_noerr_3-contigs	343	114	88	77	55	32	4592809	4555714	4493446	4404753	4053912	3227927	121	327148	4560778	4641652	50.75	50.79	82584	82584	43559	41986	18	18	37	38	0	0	0	0	0	0 + 0 part	0	98.162	1.001	0.00	0.90	0.00	327148	4560778	82584	82584	43559	41986	18	18	37	38
k72_ecoli_50X_noerr_3-contigs	335	111	87	75	56	32	4599323	4561103	4503790	4407299	4104969	3251588	116	327796	4565024	4641652	50.76	50.79	82810	82596	44466	42225	17	18	36	38	0	0	0	0	0	0 + 0 part	0	98.220	1.001	0.00	0.46	0.00	327796	4565024	82810	82596	44466	42225	17	18	36	38
k78_ecoli_50X_noerr_3-contigs	319	104	84	73	55	32	4597248	4557621	4507507	4420906	4130829	3319126	110	327797	4562057	4641652	50.75	50.79	96499	82822	45027	44594	16	17	35	36	0	0	0	0	0	0 + 0 part	0	98.190	1.001	0.00	1.14	0.00	327797	4562054	96499	82822	45027	44594	16	17	35	36
k84_ecoli_50X_noerr_3-contigs	290	99	80	71	54	31	4601074	4563335	4518613	4447026	4171754	3365252	106	327797	4568141	4641652	50.75	50.79	98762	96505	46293	45033	15	16	33	34	0	0	0	0	0	0 + 0 part	0	98.295	1.001	0.00	1.03	0.00	327797	4568138	98762	96505	46293	45033	15	16	33	34
k90_ecoli_50X_noerr_3-contigs	260	96	78	71	52	31	4601736	4568268	4522970	4469004	4157924	3420853	101	327797	4572183	4641652	50.75	50.79	98768	98768	48961	45039	15	15	32	33	0	0	0	0	0	0 + 0 part	0	98.367	1.001	0.00	1.58	0.00	327797	4572180	98768	98768	48961	45039	15	15	32	33
k96_ecoli_50X_noerr_3-contigs	234	90	72	65	49	30	4600269	4570110	4524246	4470238	4209779	3561977	93	327797	4572323	4641652	50.75	50.79	112694	112694	58026	54938	14	14	28	29	0	0	0	0	0	0 + 0 part	0	98.386	1.001	0.00	2.23	0.04	327797	4572323	112694	112694	58026	54938	14	14	28	29
k102_ecoli_100X_noerr_3-contigs	183	80	63	58	48	27	4637017	4612905	4562005	4524011	4366450	3661865	84	327191	4615754	4641652	50.76	50.79	133964	133964	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.931	1.005	0.00	2.50	0.04	327191	4615754	133964	133964	64353	64353	12	12	24	24
k108_ecoli_100X_noerr_3-contigs	175	78	61	56	47	28	4636991	4613401	4561493	4523463	4387516	3740616	83	327197	4616780	4641652	50.76	50.79	133964	133964	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.954	1.005	0.00	2.48	0.04	327197	4616780	133964	133964	64353	64353	12	12	24	24
k114_ecoli_100X_noerr_3-contigs	168	77	61	56	47	28	4637176	4612925	4565921	4530349	4394740	3748042	83	327203	4617223	4641652	50.76	50.79	133964	133964	64353	64353	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.937	1.005	0.00	1.61	0.00	327203	4617223	133964	133964	64353	64353	12	12	24	24
k120_ecoli_100X_noerr_3-contigs	160	75	60	55	46	29	4635437	4613311	4569142	4533564	4397811	3814370	78	327191	4615680	4641652	50.76	50.79	133964	133964	66775	66775	12	12	24	24	0	0	0	0	0	0 + 0 part	0	98.904	1.005	0.00	2.55	0.04	327191	4615680	133964	133964	66775	66775	12	12	24	24
