Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k36_ecoli_100X_noerr_1-contigs	447	136	108	91	60	31	4607629	4570462	4494174	4366334	3893958	2805417	147	270096	4578579	4641652	50.77	50.79	61925	59986	39167	38903	22	23	46	47	0	0	0	4	0	0 + 0 part	0	98.272	1.004	3.45	3.20	0.24	270096	4578484	61925	59986	39167	38903	22	23	46	47
k42_ecoli_100X_noerr_1-contigs	365	118	94	81	58	30	4611695	4582638	4516611	4419622	4058912	3049491	124	270194	4586937	4641652	50.78	50.79	78098	76184	41279	40370	18	19	39	40	0	0	0	4	0	0 + 0 part	0	98.470	1.004	0.04	2.91	0.22	270194	4586937	78098	76184	41279	40370	18	19	39	40
k48_ecoli_100X_noerr_1-contigs	342	109	89	76	52	31	4615636	4585840	4531251	4436709	4051615	3303880	114	270060	4589471	4641652	50.78	50.79	96181	95861	45278	42324	16	17	34	35	0	0	0	2	0	0 + 0 part	0	98.496	1.004	0.00	1.77	0.11	270060	4589471	96181	95861	45278	42324	16	17	34	35
k54_ecoli_100X_noerr_1-contigs	298	103	86	73	51	33	4618396	4590179	4544102	4452197	4103162	3465931	108	270460	4593346	4641652	50.78	50.79	95957	95957	53721	49544	16	16	33	34	0	0	0	1	0	0 + 0 part	0	98.548	1.004	0.02	1.73	0.11	270460	4593346	95957	95957	53721	49544	16	16	33	34
k60_ecoli_100X_noerr_1-contigs	287	96	79	68	51	33	4627667	4598059	4554083	4473762	4202662	3575155	102	328378	4602161	4641652	50.77	50.79	106366	106366	55987	53796	15	15	31	32	0	0	0	1	0	0 + 0 part	0	98.699	1.005	0.00	1.77	0.07	328378	4602161	106366	106366	55987	53796	15	15	31	32
k66_ecoli_100X_noerr_1-contigs	262	94	76	67	52	33	4627064	4598215	4549832	4480408	4240959	3589749	100	327790	4602744	4641652	50.77	50.79	106378	106378	55993	55993	15	15	31	31	0	0	0	1	0	0 + 0 part	0	98.726	1.004	0.00	1.66	0.02	327790	4602744	106378	106378	55993	55993	15	15	31	31
k72_ecoli_100X_noerr_1-contigs	255	90	73	65	52	32	4634431	4604109	4555352	4493273	4291723	3613169	95	327796	4608030	4641652	50.78	50.79	113967	112701	55999	55999	14	15	30	30	0	0	0	1	0	0 + 0 part	0	98.845	1.004	0.00	2.20	0.02	327796	4608030	113967	112701	55999	55999	14	15	30	30
k78_ecoli_100X_noerr_1-contigs	247	90	74	66	53	32	4632001	4600890	4553407	4491170	4290024	3583255	96	327797	4605326	4641652	50.77	50.79	113390	106402	56005	53921	14	15	30	31	0	0	0	0	0	0 + 0 part	0	98.818	1.004	0.00	1.83	0.00	327797	4605326	113390	106402	56005	53921	14	15	30	31
k84_ecoli_100X_noerr_1-contigs	229	89	72	66	53	32	4631866	4602538	4554500	4507296	4305958	3581646	96	327797	4607344	4641652	50.78	50.79	113390	106417	56011	53933	14	15	30	31	0	0	0	0	0	0 + 0 part	0	98.876	1.004	0.00	1.92	0.02	327797	4607344	113390	106417	56011	53933	14	15	30	31
k90_ecoli_100X_noerr_1-contigs	209	85	69	63	50	29	4637740	4610680	4566858	4522656	4324567	3617090	90	327797	4614595	4641652	50.77	50.79	124137	124137	59186	59186	13	13	27	27	0	0	0	0	0	0 + 0 part	0	98.914	1.005	0.00	1.89	0.00	327797	4614595	124137	124137	59186	59186	13	13	27	27
